,smiles,pref_name,id_24,id_25,id_26,id_27,scomp_id
14291,NC[C@H]1O[C@@H]2O[C@@H]3[C@@H](CN)O[C@H](O[C@@H]4[C@@H](CN)O[C@H](O[C@@H]5[C@@H](CN)O[C@H](O[C@@H]6[C@@H](CN)O[C@H](O[C@@H]7[C@@H](CN)O[C@H](O[C@@H]8[C@@H](CN)O[C@H](O[C@H]1[C@H](O)[C@H]2O)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O,,600605,600605,600605,600605,14291
14292,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)C12CC3CC(CC(C3)C1)C2,,600641,600641,600641,600641,14292
14293,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)C12CC3CC(CC(O)(C3)C1)C2,,600642,600642,600642,600642,14293
14294,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)C12CC3CC(C)(CC(C)(C3)C1)C2,,600643,600643,600643,600643,14294
14295,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CC12CC3CC(CC(C3)C1)C2,,600644,600644,600644,600644,14295
14296,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)COc1ccc(C)cc1,,600645,600645,600645,600645,14296
14297,Cc1cc(C)nc(SCC(=O)c2ccc(O)c(O)c2)n1,,600689,600689,600689,600689,14297
14298,Nc1nc2cc(NC(=O)c3ccccc3)ccc2[nH]1,,600805,600805,600805,600805,14298
14299,COCc1cc(C)nc(SCC(=O)c2ccc(O)c(O)c2)c1C#N,,600831,600831,600831,600831,14299
14300,O=C1NC(=O)C(Cc2cccc(Oc3ccccc3)c2)S1,,600955,600955,600955,600955,14300
14301,COc1ccc(CCC(=O)CCc2ccc(OC)c(OC)c2)cc1OC,,601019,601019,601019,601019,14301
14302,COc1ccc(CCC(O)CCc2ccc(OC)c(OC)c2)cc1OC,,601020,601020,601020,601020,14302
14303,Cc1ccc(CNCC2CCCC(CNCc3ccc(C)cc3)C2)cc1,,601054,601054,601054,601054,14303
